course,opentext,link,notes,current-text,current-cost
ENGL 101: English Composition I,Successful College Composition,https://oer.galileo.usg.edu/english-textbooks/8/,Georgia State,BSU Range from no text to Curious Writer by Pearson ,$135
ENGL 101: English Composition I,Gordon State College Writing Handbook,https://oer.galileo.usg.edu/english-textbooks/7/,Gordon State,BSU Range from no text to Curious Writer by Pearson ,$135
ENGL 101: English Composition I,Exploring Perspectives: A Concise Guide to Analysis,https://www.saylor.org/site/textbooks/Exploring%20Perspectives%20-%20A%20Concise%20Guide%20to%20Analysis.pdf,Based on saylor.org class,BSU Range from no text to Curious Writer by Pearson ,$135
ENGL 101: English Composition I,Writing for Success,https://open.bccampus.ca/find-open-textbooks/?uuid=be97a141-078a-46e4-a66b-e287b2b25c98&contributor=&keyword=&subject=English,BC Campus,BSU Range from no text to Curious Writer by Pearson ,$135
ENGL 102: English Composition II,Successful College Composition,https://oer.galileo.usg.edu/english-textbooks/8/,Georgia State,"BSU Range from no text to INSIDERS GUIDE TO ACADEMIC WRITING: A RHETORIC AND READER, 2016 MLA UPDATE ED by MacMillan
",$88
ENGL 102: English Composition II,Gordon State College Writing Handbook,https://oer.galileo.usg.edu/english-textbooks/7/,Gordon State,"BSU Range from no text to INSIDERS GUIDE TO ACADEMIC WRITING: A RHETORIC AND READER, 2016 MLA UPDATE ED by MacMillan
",$88
ENGL 102: English Composition II,Exploring Perspectives: A Concise Guide to Analysis,https://www.saylor.org/site/textbooks/Exploring%20Perspectives%20-%20A%20Concise%20Guide%20to%20Analysis.pdf,Based on saylor.org class,"BSU Range from no text to INSIDERS GUIDE TO ACADEMIC WRITING: A RHETORIC AND READER, 2016 MLA UPDATE ED by MacMillan
",$88
ENGL 102: English Composition II,Writing for Success,https://open.bccampus.ca/find-open-textbooks/?uuid=be97a141-078a-46e4-a66b-e287b2b25c98&contributor=&keyword=&subject=English,BC Campus,"BSU Range from no text to INSIDERS GUIDE TO ACADEMIC WRITING: A RHETORIC AND READER, 2016 MLA UPDATE ED by MacMillan
",$88
COMM 101: Fundamentals of Oral Communication,Introduction to Public Communication,http://kell.indstate.edu/public-comm-intro/,"Indiana State University. It is remarkably well done, and an OER text that would work very well for our COMM 101 instructors and students.","BSU COMMUNICATION 4/E (BSU CUSTOM)
",$92.50
COMM 101: Fundamentals of Oral Communication,Communication in the real world: An introduction to communication studies.  Univ. of Minnesota .    ,http://www.oercommons.org/courses/communication-in-the-real-world-an-introduction-to-communication-studies/view,University of Minnesota,"BSU COMMUNICATION 4/E (BSU CUSTOM)
",$92.50
COMM 101: Fundamentals of Oral Communication,COMM 101 ,http://www.oercommons.org/courses/principles-of-human-communication/view,"Here is a text for COMM 101 by Saylor.org.  Not nearly as well done, and is a ""free course"" through Saylor.org. However, the text is available for us by anyone.","BSU COMMUNICATION 4/E (BSU CUSTOM)
",$92.50
COMM 101: Fundamentals of Oral Communication,Additional OER,http://cw.routledge.com/textbooks/9780415537902/data/learning/11_Communication%20Skills.pdfâ€‹ ,"There are also a whole lot of OER- and free-to-use sites with resources, if someone wanted to use any of these in a mix. This just one example.","BSU COMMUNICATION 4/E (BSU CUSTOM)
",$92.50
COMM 101: Fundamentals of Oral Communication,OER Commons,https://www.oercommons.org/search?f.search=communication&f.general_subject=&f.sublevel=&f.alignment_standard=,"Just going through one source, OER Commons, I was able to pull up a looooong list of communication texts for pretty much all of our lower-division courses.  None of this material is proprietary, and there is no reason for students to have to pay in order to get this information.","BSU COMMUNICATION 4/E (BSU CUSTOM)
",$92.50
MATH 123: Math in Modern Society,Math in Society,https://aimath.org/textbooks/approved-textbooks/lippman/,American Institute of Mathematics approved textbook,"BSU QUANTITATIVE LITERACY 2/E HB W/AC, QUANTITATIVE LITERACY 2/E STANDALONE AC (W/eTEXT)
",$200 and $78.50
MATH 130: Finite Mathematics,Applied Finite Mathematics,https://open.umn.edu/opentextbooks/BookDetail.aspx?bookId=396,Open Textbook Network,MATH/130 not listed on BSU bookstore list,$200 and $78.50
MATH 130: Finite Mathematics,Finite Math ,http://www.oercommons.org/courses/finite-math/view,Lumen Learning,MATH/130 not listed on BSU bookstore list,$200 and $78.50
